Date,LAST_PRICE
1/4/2000,25.55
1/5/2000,24.91
1/6/2000,24.78
1/7/2000,24.22
1/10/2000,24.67
1/11/2000,25.77
1/12/2000,26.28
1/13/2000,26.69
1/14/2000,28.02
1/18/2000,28.85
1/19/2000,29.54
1/20/2000,29.66
1/21/2000,28.2
1/24/2000,27.83
1/25/2000,28.28
1/26/2000,27.84
1/27/2000,27.32
1/28/2000,27.22
1/31/2000,27.64
2/1/2000,28.22
2/2/2000,27.55
2/3/2000,28.03
2/4/2000,28.82
2/7/2000,28.45
2/8/2000,28.02
2/9/2000,28.77
2/10/2000,29.43
2/11/2000,29.44
2/14/2000,30.25
2/15/2000,30.06
2/16/2000,30.05
2/17/2000,29.46
2/18/2000,29.51
2/22/2000,29.62
2/23/2000,29.39
2/24/2000,29.97
2/25/2000,30.35
2/28/2000,30.13
2/29/2000,30.43
3/1/2000,31.77
3/2/2000,31.69
3/3/2000,31.51
3/6/2000,32.18
3/7/2000,34.13
3/8/2000,31.26
3/9/2000,31.69
3/10/2000,31.76
3/13/2000,32.02
3/14/2000,31.69
3/15/2000,30.72
3/16/2000,31.09
3/17/2000,30.91
3/20/2000,29.43
3/21/2000,28
3/22/2000,27.46
3/23/2000,27.31
3/24/2000,28.02
3/27/2000,27.79
3/28/2000,27.09
3/29/2000,26.45
3/30/2000,26.7
3/31/2000,26.9
4/3/2000,26.43
4/4/2000,25.45
4/5/2000,25.83
4/6/2000,25.69
4/7/2000,25.04
4/10/2000,23.85
4/11/2000,24.14
4/12/2000,25.41
4/13/2000,25.38
4/14/2000,25.57
4/17/2000,25.89
4/18/2000,26.11
4/19/2000,27.35
4/20/2000,25.88
4/24/2000,26.04
4/25/2000,25.33
4/26/2000,24.65
4/27/2000,25.42
4/28/2000,25.74
5/1/2000,25.87
5/2/2000,26.89
5/3/2000,26.75
5/4/2000,26.98
5/5/2000,27.29
5/8/2000,28.09
5/9/2000,28.65
5/10/2000,28.1
5/11/2000,29.11
5/12/2000,29.62
5/15/2000,29.92
5/16/2000,29.73
5/17/2000,29.32
5/18/2000,30.33
5/19/2000,29.89
5/22/2000,28.61
5/23/2000,28.78
5/24/2000,29.93
5/25/2000,30.51
5/26/2000,30
5/30/2000,30.35
5/31/2000,29.01
6/1/2000,30.14
6/2/2000,30.35
6/5/2000,29.7
6/6/2000,29.75
6/7/2000,29.95
6/8/2000,29.78
6/9/2000,30.2
6/12/2000,31.74
6/13/2000,32.56
6/14/2000,32.85
6/15/2000,32.95
6/16/2000,32.33
6/19/2000,31.69
6/20/2000,33.05
6/21/2000,31.37
6/22/2000,32.19
6/23/2000,32.25
6/26/2000,31.63
6/27/2000,32.06
6/28/2000,31.9
6/29/2000,32.72
6/30/2000,32.5
7/5/2000,30.67
7/6/2000,29.99
7/7/2000,30.28
7/10/2000,29.69
7/11/2000,29.7
7/12/2000,30.32
7/13/2000,31.47
7/14/2000,31.4
7/17/2000,30.83
7/18/2000,31.94
7/19/2000,31.42
7/20/2000,30.93
7/21/2000,28.56
7/24/2000,28.02
7/25/2000,27.95
7/26/2000,27.81
7/27/2000,28.02
7/28/2000,28.18
7/31/2000,27.43
8/1/2000,27.79
8/2/2000,28.26
8/3/2000,28.66
8/4/2000,29.96
8/7/2000,28.91
8/8/2000,29.12
8/9/2000,30.35
8/10/2000,31.34
8/11/2000,31.02
8/14/2000,31.94
8/15/2000,31.67
8/16/2000,31.8
8/17/2000,31.94
8/18/2000,31.99
8/21/2000,32.47
8/22/2000,31.22
8/23/2000,32.02
8/24/2000,31.63
8/25/2000,32.03
8/28/2000,32.87
8/29/2000,32.74
8/30/2000,33.32
8/31/2000,33.12
9/1/2000,33.38
9/5/2000,33.83
9/6/2000,34.9
9/7/2000,35.39
9/8/2000,33.63
9/11/2000,35.14
9/12/2000,34.28
9/13/2000,33.82
9/14/2000,34.07
9/15/2000,35.92
9/18/2000,36.88
9/19/2000,36.51
9/20/2000,37.2
9/21/2000,34
9/22/2000,32.68
9/25/2000,31.57
9/26/2000,31.5
9/27/2000,31.46
9/28/2000,30.34
9/29/2000,30.84
10/2/2000,32.18
10/3/2000,32.07
10/4/2000,31.43
10/5/2000,30.53
10/6/2000,30.86
10/9/2000,31.86
10/10/2000,33.18
10/11/2000,33.25
10/12/2000,36.06
10/13/2000,34.99
10/16/2000,32.92
10/17/2000,32.99
10/18/2000,33.48
10/19/2000,32.91
10/20/2000,33.75
10/23/2000,33.76
10/24/2000,33.37
10/25/2000,32.96
10/26/2000,33.71
10/27/2000,32.74
10/30/2000,32.81
10/31/2000,32.7
11/1/2000,33.25
11/2/2000,32.54
11/3/2000,32.71
11/6/2000,32.86
11/7/2000,33.4
11/8/2000,33.24
11/9/2000,33.92
11/10/2000,34.02
11/13/2000,34.47
11/14/2000,34.87
11/15/2000,35.58
11/16/2000,35.12
11/17/2000,35.45
11/20/2000,35.22
11/21/2000,35.16
11/22/2000,35.4
11/27/2000,35.38
11/28/2000,34.22
11/29/2000,34.63
11/30/2000,33.82
12/1/2000,32.02
12/4/2000,31.22
12/5/2000,29.53
12/6/2000,29.85
12/7/2000,29.35
12/8/2000,28.44
12/11/2000,29.5
12/12/2000,29.68
12/13/2000,28.74
12/14/2000,27.99
12/15/2000,28.87
12/18/2000,29.76
12/19/2000,29.33
12/20/2000,25.77
12/21/2000,25.98
12/22/2000,26.18
12/26/2000,26.64
12/27/2000,26.47
12/28/2000,25.85
12/29/2000,26.8
1/2/2001,27.21
1/3/2001,28
1/4/2001,28.14
1/5/2001,27.95
1/8/2001,27.32
1/9/2001,27.64
1/10/2001,29.48
1/11/2001,29.41
1/12/2001,30.05
1/16/2001,30.29
1/17/2001,29.6
1/18/2001,30.45
1/19/2001,32.19
1/22/2001,32.19
1/23/2001,29.57
1/24/2001,29.05
1/25/2001,29.36
1/26/2001,29.77
1/29/2001,29.06
1/30/2001,29.06
1/31/2001,28.66
2/1/2001,29.82
2/2/2001,31.19
2/5/2001,30.55
2/6/2001,30.35
2/7/2001,31.27
2/8/2001,31.59
2/9/2001,31.03
2/12/2001,30.51
2/13/2001,30.36
2/14/2001,29.71
2/15/2001,28.8
2/16/2001,29.16
2/20/2001,28.58
2/21/2001,28.53
2/22/2001,28.82
2/23/2001,29.04
2/26/2001,28.42
2/27/2001,28.13
2/28/2001,27.39
3/1/2001,27.62
3/2/2001,27.84
3/5/2001,28.6
3/6/2001,28.32
3/7/2001,29
3/8/2001,28.39
3/9/2001,28.01
3/12/2001,28
3/13/2001,27.59
3/14/2001,26.41
3/15/2001,26.55
3/16/2001,26.74
3/19/2001,26.15
3/20/2001,25.96
3/21/2001,26.8
3/22/2001,26.54
3/23/2001,27.3
3/26/2001,27.48
3/27/2001,27.75
3/28/2001,26.31
3/29/2001,26.32
3/30/2001,26.29
4/2/2001,25.59
4/3/2001,26.19
4/4/2001,27.12
4/5/2001,27.26
4/6/2001,27.06
4/9/2001,27.28
4/10/2001,28.48
4/11/2001,28.18
4/12/2001,28.25
4/16/2001,28.79
4/17/2001,28.24
4/18/2001,27.95
4/19/2001,27.82
4/20/2001,27.28
4/23/2001,27.61
4/24/2001,26.86
4/25/2001,27.29
4/26/2001,28.44
4/27/2001,28.27
4/30/2001,28.46
5/1/2001,28.94
5/2/2001,27.8
5/3/2001,28.45
5/4/2001,28.36
5/7/2001,27.77
5/8/2001,27.39
5/9/2001,28.23
5/10/2001,28.52
5/11/2001,28.55
5/14/2001,28.71
5/15/2001,28.98
5/16/2001,28.86
5/17/2001,28.91
5/18/2001,29.91
5/21/2001,29.98
5/22/2001,29.74
5/23/2001,29.58
5/24/2001,28.41
5/25/2001,28.38
5/29/2001,28.66
5/30/2001,28.55
5/31/2001,28.37
6/1/2001,27.93
6/4/2001,28.13
6/5/2001,28.24
6/6/2001,27.72
6/7/2001,27.75
6/8/2001,28.33
6/11/2001,29.04
6/12/2001,29.18
6/13/2001,28.84
6/14/2001,29.04
6/15/2001,28.51
6/18/2001,27.55
