Date,Price,30Ravg,AIL Demand
01/25/2016 01,17.36,22.64,9066
01/25/2016 02,16.35,22.64,8942
01/25/2016 03,15.99,22.64,8889
01/25/2016 04,16.02,22.63,8877
01/25/2016 05,16.02,22.63,8924
01/25/2016 06,16.6,22.63,9150
01/25/2016 07,18.58,22.63,9630
01/25/2016 08,19.5,22.63,10183
01/25/2016 09,21.67,22.63,10348
01/25/2016 10,21.07,22.63,10327
01/25/2016 11,20.24,22.63,10271
01/25/2016 12,20.23,22.63,10223
01/25/2016 13,19.48,22.64,10150
01/25/2016 14,19.25,22.64,10225
01/25/2016 15,19.35,22.64,10227
01/25/2016 16,18.98,22.65,10184
01/25/2016 17,19.22,22.65,10349
01/25/2016 18,21.49,22.66,10722
01/25/2016 19,20.89,22.66,10748
01/25/2016 20,19.77,22.67,10620
01/25/2016 21,18.93,22.68,10483
01/25/2016 22,18.61,22.68,10157
01/25/2016 23,17.14,22.69,9751
01/25/2016 24,15.54,22.69,9410
01/26/2016 01,15.67,22.69,9194
01/26/2016 02,15.79,22.7,9055
01/26/2016 03,15.95,22.7,8939
01/26/2016 04,15.89,22.7,8913
01/26/2016 05,15.92,22.71,8993
01/26/2016 06,16.03,22.71,9169
01/26/2016 07,16.69,22.71,9570
01/26/2016 08,18.23,22.72,10075
01/26/2016 09,18.28,22.72,10160
01/26/2016 10,18.18,22.72,10195
01/26/2016 11,17.67,22.72,10194
01/26/2016 12,17.07,22.72,10177
01/26/2016 13,17.02,22.72,10115
01/26/2016 14,17.34,22.72,10142
01/26/2016 15,17.34,22.73,10112
01/26/2016 16,17.34,22.72,10105
01/26/2016 17,17.12,22.72,10139
01/26/2016 18,18.74,22.72,10458
01/26/2016 19,18.05,22.71,10444
01/26/2016 20,18.07,22.7,10325
01/26/2016 21,17.32,22.69,10152
01/26/2016 22,16.58,22.67,9898
01/26/2016 23,14.92,22.66,9490
01/26/2016 24,10.79,22.64,9093
01/27/2016 01,10.81,22.63,8871
01/27/2016 02,10.77,22.62,8731
01/27/2016 03,10.78,22.6,8694
01/27/2016 04,10.78,22.59,8658
01/27/2016 05,10.78,22.58,8711
01/27/2016 06,10.78,22.57,8922
01/27/2016 07,15.24,22.56,9394
01/27/2016 08,17.01,22.56,9924
01/27/2016 09,17.75,22.56,10075
01/27/2016 10,17.34,22.55,10045
01/27/2016 11,17.34,22.54,10031
01/27/2016 12,17.14,22.53,10042
01/27/2016 13,17.15,22.52,9992
01/27/2016 14,18.46,22.52,10001
01/27/2016 15,18.46,22.52,9918
01/27/2016 16,18.18,22.51,9938
01/27/2016 17,18.19,22.51,10160
01/27/2016 18,18.64,22.44,10471
01/27/2016 19,18.51,22.39,10428
01/27/2016 20,17.4,22.37,10317
01/27/2016 21,17.02,22.36,10157
01/27/2016 22,16.01,22.35,9876
01/27/2016 23,12.89,22.33,9495
01/27/2016 24,10.78,22.32,9185
01/28/2016 01,11.19,22.31,8932
01/28/2016 02,10.78,22.3,8806
01/28/2016 03,10.78,22.29,8734
01/28/2016 04,10.78,22.28,8721
01/28/2016 05,13.98,22.27,8783
01/28/2016 06,11.08,22.26,8922
01/28/2016 07,13.66,22.25,9371
01/28/2016 08,16.8,22.24,9907
01/28/2016 09,17.31,22.18,10043
01/28/2016 10,18.19,22.14,10016
01/28/2016 11,19.58,22.12,10012
01/28/2016 12,20.02,22.12,10043
01/28/2016 13,22.3,22.13,10020
01/28/2016 14,22.3,22.13,9978
01/28/2016 15,22.29,22.14,9894
01/28/2016 16,19.42,22.14,9890
01/28/2016 17,18.7,22.13,9985
01/28/2016 18,21.1,22.14,10263
01/28/2016 19,22.3,22.14,10281
01/28/2016 20,22.29,22.14,10166
01/28/2016 21,19.9,22.15,9973
01/28/2016 22,19.58,22.15,9676
01/28/2016 23,17.57,22.14,9313
01/28/2016 24,16.42,22.14,9037
01/29/2016 01,15.05,22.13,8858
01/29/2016 02,17.13,22.13,8767
01/29/2016 03,16.25,22.13,8702
01/29/2016 04,16.15,22.13,8625
01/29/2016 05,16.1,22.13,8653
01/29/2016 06,16.03,22.13,8800
01/29/2016 07,18.83,22.13,9205
01/29/2016 08,20.44,22.13,9727
01/29/2016 09,21.3,22.14,9921
01/29/2016 10,20.7,22.14,9916
01/29/2016 11,21.06,22.14,9923
01/29/2016 12,21.38,22.14,9887
01/29/2016 13,21.46,22.15,9827
01/29/2016 14,22.12,22.15,9824
01/29/2016 15,21.77,22.16,9783
01/29/2016 16,21.48,22.16,9756
01/29/2016 17,21.47,22.16,9750
01/29/2016 18,22.07,22.17,10055
01/29/2016 19,22.51,22.17,10121
01/29/2016 20,22.37,22.17,9994
01/29/2016 21,21.53,22.17,9859
01/29/2016 22,21.36,22.18,9635
01/29/2016 23,19.24,22.18,9365
01/29/2016 24,17.01,22.18,9082
01/30/2016 01,16.74,22.17,8889
01/30/2016 02,16.28,22.18,8771
01/30/2016 03,15.96,22.18,8669
01/30/2016 04,15.69,22.18,8647
01/30/2016 05,15.69,22.18,8652
01/30/2016 06,15.69,22.19,8710
01/30/2016 07,15.38,22.19,8855
01/30/2016 08,16.08,22.2,9095
01/30/2016 09,17.26,22.2,9354
01/30/2016 10,17.53,22.2,9474
01/30/2016 11,18.77,22.21,9560
01/30/2016 12,18.97,22.22,9622
01/30/2016 13,18.94,22.22,9600
01/30/2016 14,18.63,22.23,9539
01/30/2016 15,17.62,22.24,9511
01/30/2016 16,17.26,22.24,9533
01/30/2016 17,17.46,22.25,9662
01/30/2016 18,20.69,22.26,9980
01/30/2016 19,21.62,22.27,10066
01/30/2016 20,20.14,22.28,9915
01/30/2016 21,18.79,22.28,9785
01/30/2016 22,17.59,22.29,9629
01/30/2016 23,17.24,22.29,9420
01/30/2016 24,16.5,22.3,9185
01/31/2016 01,16.54,22.3,8996
01/31/2016 02,16.18,22.31,8810
01/31/2016 03,17.03,22.31,8823
01/31/2016 04,16.92,22.32,8762
01/31/2016 05,16.65,22.33,8774
01/31/2016 06,17.73,22.34,8834
01/31/2016 07,17.5,22.35,8858
01/31/2016 08,20.5,22.36,9163
01/31/2016 09,19.84,22.37,9384
01/31/2016 10,21.77,22.38,9556
01/31/2016 11,22.5,22.39,9699
01/31/2016 12,22.51,22.4,9749
01/31/2016 13,22.51,22.4,9785
01/31/2016 14,22.51,22.41,9773
01/31/2016 15,22.44,22.41,9703
01/31/2016 16,22.49,22.42,9746
01/31/2016 17,23.27,22.42,9921
01/31/2016 18,25.82,22.43,10312
01/31/2016 19,25.28,22.44,10345
01/31/2016 20,22.75,22.44,10206
01/31/2016 21,22.46,22.44,10105
01/31/2016 22,22.46,22.45,9895
01/31/2016 23,22.48,22.45,9548
01/31/2016 24,20.12,22.45,9179
02/01/2016 01,16.04,22.45,8932
02/01/2016 02,15.67,22.44,8867
02/01/2016 03,17.08,22.44,8834
02/01/2016 04,17.27,22.44,8833
02/01/2016 05,17.41,22.43,8897
02/01/2016 06,19.53,22.43,9145
02/01/2016 07,23.05,22.44,9614
02/01/2016 08,22.21,22.44,10176
02/01/2016 09,22.45,22.45,10336
02/01/2016 10,22.57,22.45,10380
02/01/2016 11,22.58,22.45,10398
02/01/2016 12,24.69,22.45,10394
02/01/2016 13,23.36,22.46,10353
02/01/2016 14,22.51,22.46,10319
02/01/2016 15,22.47,22.46,10231
02/01/2016 16,22.51,22.46,10282
02/01/2016 17,21.19,22.46,10369
02/01/2016 18,22.23,22.45,10616
02/01/2016 19,20.09,22.45,10643
02/01/2016 20,19.67,22.45,10484
02/01/2016 21,19.64,22.44,10360
02/01/2016 22,19.18,22.44,10080
02/01/2016 23,16.95,22.44,9677
02/01/2016 24,16.02,22.43,9328
02/02/2016 01,15.95,22.43,9153
02/02/2016 02,16.03,22.43,9061
02/02/2016 03,15.92,22.44,8991
02/02/2016 04,16.17,22.44,8947
02/02/2016 05,15.91,22.45,8972
02/02/2016 06,16.48,22.45,9221
02/02/2016 07,19.47,22.46,9682
02/02/2016 08,20.93,22.47,10287
02/02/2016 09,22.05,22.48,10357
02/02/2016 10,22.18,22.5,10263
02/02/2016 11,22.22,22.51,10229
02/02/2016 12,24.68,22.52,10252
02/02/2016 13,23.58,22.53,10190
02/02/2016 14,25.52,22.55,10162
02/02/2016 15,26.91,22.56,10119
02/02/2016 16,26.49,22.58,10160
02/02/2016 17,22.37,22.59,10217
02/02/2016 18,28.4,22.6,10457
02/02/2016 19,29.04,22.61,10499
02/02/2016 20,23.1,22.61,10398
02/02/2016 21,22.2,22.62,10286
02/02/2016 22,19.76,22.63,10027
02/02/2016 23,17.26,22.63,9636
02/02/2016 24,16.03,22.63,9291
02/03/2016 01,15.17,22.63,9077
02/03/2016 02,13.01,22.63,8947
02/03/2016 03,12.16,22.63,8868
02/03/2016 04,12.48,22.62,8957
02/03/2016 05,12.61,22.61,9042
02/03/2016 06,15.18,22.61,9259
02/03/2016 07,16.97,22.6,9755
02/03/2016 08,18.08,22.6,10301
02/03/2016 09,17.83,22.6,10332
02/03/2016 10,17.44,22.6,10295
02/03/2016 11,18.47,22.59,10312
02/03/2016 12,18.94,22.59,10286
02/03/2016 13,17.42,22.58,10129
02/03/2016 14,17.07,22.58,10075
02/03/2016 15,16.94,22.57,10023
02/03/2016 16,17.09,22.57,10034
02/03/2016 17,17.09,22.56,10111
02/03/2016 18,17.13,22.53,10393
02/03/2016 19,17.03,22.51,10507
02/03/2016 20,16.47,22.5,10432
02/03/2016 21,16.79,22.49,10309
02/03/2016 22,16.31,22.49,10072
02/03/2016 23,15.4,22.48,9698
02/03/2016 24,13.82,22.47,9332
02/04/2016 01,15.04,22.47,9142
02/04/2016 02,15.49,22.46,9006
02/04/2016 03,13.96,22.46,8939
02/04/2016 04,12.26,22.45,8954
02/04/2016 05,12.26,22.45,9029
02/04/2016 06,13.73,22.44,9228
02/04/2016 07,15.65,22.44,9643
02/04/2016 08,16.44,22.42,10188
02/04/2016 09,17.04,22.41,10347
02/04/2016 10,17,22.4,10349
02/04/2016 11,17.44,22.39,10352
02/04/2016 12,17.45,22.37,10311
02/04/2016 13,17.45,22.35,10267
02/04/2016 14,17.45,22.34,10190
02/04/2016 15,17.23,22.33,10127
02/04/2016 16,17.1,22.33,10059
02/04/2016 17,17.54,22.32,10086
02/04/2016 18,19,22.28,10365
02/04/2016 19,19.18,22.24,10512
02/04/2016 20,18.58,22.22,10427
02/04/2016 21,18.21,22.22,10297
02/04/2016 22,18.14,22.22,10020
02/04/2016 23,15.57,22.22,9674
02/04/2016 24,14.5,22.21,9346
02/05/2016 01,11.49,22.21,9055
02/05/2016 02,10.96,22.2,8900
02/05/2016 03,12.67,22.2,8826
02/05/2016 04,10.78,22.19,8798
02/05/2016 05,14.68,22.19,8862
02/05/2016 06,14.77,22.18,9025
02/05/2016 07,15.66,22.18,9439
02/05/2016 08,17.74,22.1,10012
02/05/2016 09,19.57,22.08,10145
02/05/2016 10,19.49,22.08,10171
02/05/2016 11,19.49,22.08,10182
02/05/2016 12,19.49,22.08,10139
02/05/2016 13,19.49,22.08,10101
02/05/2016 14,19.48,22.07,10076
02/05/2016 15,17.37,22.07,10023
02/05/2016 16,17.29,22.06,9974
02/05/2016 17,18.71,22.04,9982
02/05/2016 18,18.46,21.96,10122
02/05/2016 19,17.48,21.94,10176
02/05/2016 20,16.32,21.93,10094
02/05/2016 21,15.86,21.92,9948
02/05/2016 22,17.99,21.92,9737
02/05/2016 23,16.24,21.91,9421
02/05/2016 24,15.61,21.91,9085
02/06/2016 01,15.74,21.91,8867
02/06/2016 02,14.95,21.91,8693
02/06/2016 03,12,21.9,8608
02/06/2016 04,13.45,21.89,8566
02/06/2016 05,15.6,21.89,8556
02/06/2016 06,11.7,21.88,8573
02/06/2016 07,10.78,21.86,8753
02/06/2016 08,13.09,21.86,9040
02/06/2016 09,15.84,21.85,9222
02/06/2016 10,16.34,21.85,9322
02/06/2016 11,16.16,21.84,9446
02/06/2016 12,15.58,21.84,9492
02/06/2016 13,15.33,21.83,9454
02/06/2016 14,15.33,21.83,9435
02/06/2016 15,14.49,21.82,9343
02/06/2016 16,13.38,21.81,9402
02/06/2016 17,14.84,21.81,9553
02/06/2016 18,16.26,21.8,9861
02/06/2016 19,19.47,21.8,10074
02/06/2016 20,17.21,21.8,9952
02/06/2016 21,15.45,21.79,9765
02/06/2016 22,15.31,21.79,9594
02/06/2016 23,14.32,21.78,9354
02/06/2016 24,15.33,21.77,9112
02/07/2016 01,15.33,21.76,8958
02/07/2016 02,15.43,21.76,8834
02/07/2016 03,15.3,21.76,8780
02/07/2016 04,15.46,21.76,8746
02/07/2016 05,14.74,21.75,8729
02/07/2016 06,15.17,21.75,8783
02/07/2016 07,14.51,21.74,8858
02/07/2016 08,12.22,21.71,9027
02/07/2016 09,12.84,21.07,9134
02/07/2016 10,14.9,21.01,9246
02/07/2016 11,16.64,20.98,9350
02/07/2016 12,21.68,20.97,9430
02/07/2016 13,22.04,20.98,9466
02/07/2016 14,19.86,20.98,9453
02/07/2016 15,19.04,20.98,9388
02/07/2016 16,17.62,20.97,9365
02/07/2016 17,20.13,20.98,9488
02/07/2016 18,21.05,20.98,9820
02/07/2016 19,22.15,20.98,10055
02/07/2016 20,22.05,20.99,9988
02/07/2016 21,19.49,20.99,9885
02/07/2016 22,18.38,20.99,9742
02/07/2016 23,15.15,20.98,9370
02/07/2016 24,14.92,20.96,9022
02/08/2016 01,14.96,20.95,8787
02/08/2016 02,15.72,20.94,8688
02/08/2016 03,15.55,20.93,8626
02/08/2016 04,14.93,20.92,8577
02/08/2016 05,14.23,20.9,8624
02/08/2016 06,15.3,20.89,8850
02/08/2016 07,16.24,20.88,9262
02/08/2016 08,15.31,20.87,9770
02/08/2016 09,15.98,20.84,9797
02/08/2016 10,15.88,20.82,9768
02/08/2016 11,15.91,20.79,9751
02/08/2016 12,16.55,20.79,9779
02/08/2016 13,16.31,20.78,9723
02/08/2016 14,17.93,20.78,9799
02/08/2016 15,19.21,20.78,9760
02/08/2016 16,17.89,20.78,9770
02/08/2016 17,17.39,20.78,9910
02/08/2016 18,18.87,20.75,10146
02/08/2016 19,19.41,20.73,10235
02/08/2016 20,19.93,20.72,10192
02/08/2016 21,17.37,20.72,10015
02/08/2016 22,19.93,20.72,9715
02/08/2016 23,15.61,20.72,9291
02/08/2016 24,12.83,20.71,8951
02/09/2016 01,12.54,20.7,8733
02/09/2016 02,14.65,20.69,8593
02/09/2016 03,14.23,20.69,8546
02/09/2016 04,12.16,20.69,8574
02/09/2016 05,13.05,20.68,8609
02/09/2016 06,15.48,20.69,8809
02/09/2016 07,19.34,20.69,9257
02/09/2016 08,20.61,20.7,9735
02/09/2016 09,21.01,20.71,9750
02/09/2016 10,20.73,20.72,9741
02/09/2016 11,21.16,20.73,9765
02/09/2016 12,21.3,20.73,9789
02/09/2016 13,21.3,20.74,9760
02/09/2016 14,20.79,20.74,9806
02/09/2016 15,20.41,20.75,9811
02/09/2016 16,19.61,20.75,9781
02/09/2016 17,19.26,20.75,9810
02/09/2016 18,19.85,20.75,10015
02/09/2016 19,20.4,20.75,10220
02/09/2016 20,20.37,20.76,10149
02/09/2016 21,18.88,20.76,10032
02/09/2016 22,16.16,20.75,9722
02/09/2016 23,13.72,20.75,9379
02/09/2016 24,13.94,20.75,9040
02/10/2016 01,12.93,20.75,8810
02/10/2016 02,13.31,20.75,8729
02/10/2016 03,13.54,20.75,8649
02/10/2016 04,13.54,20.76,8624
02/10/2016 05,15.23,20.76,8662
02/10/2016 06,14.96,20.76,8811
02/10/2016 07,23.02,20.77,9378
02/10/2016 08,26.96,20.78,9981
02/10/2016 09,25.24,20.79,10047
02/10/2016 10,23.55,20.8,10043
02/10/2016 11,22.74,20.81,9932
02/10/2016 12,22.13,20.81,9883
02/10/2016 13,24.54,20.82,9869
02/10/2016 14,30.48,20.83,9872
02/10/2016 15,32.03,20.85,9905
02/10/2016 16,32.93,20.87,9972
02/10/2016 17,29.44,20.89,10134
02/10/2016 18,31.11,20.91,10307
02/10/2016 19,33.94,20.93,10372
02/10/2016 20,30.56,20.95,10235
02/10/2016 21,33.43,20.97,10083
02/10/2016 22,24.73,20.98,9886
02/10/2016 23,21.5,20.98,9533
02/10/2016 24,20.98,20.98,9183
02/11/2016 01,18.79,20.98,8965
02/11/2016 02,16.55,20.98,8851
02/11/2016 03,16.07,20.98,8819
02/11/2016 04,15.97,20.98,8861
02/11/2016 05,16.12,20.98,8916
02/11/2016 06,16.14,20.98,9102
02/11/2016 07,20.88,20.98,9532
02/11/2016 08,21.2,20.98,10039
02/11/2016 09,22.13,20.96,10066
02/11/2016 10,22.85,20.97,10139
02/11/2016 11,24.94,20.98,10117
02/11/2016 12,22.87,20.98,10090
02/11/2016 13,22.32,20.99,10042
02/11/2016 14,22.32,21,10060
02/11/2016 15,22.32,21,10046
02/11/2016 16,22.32,21,10070
02/11/2016 17,22.01,21.01,10095
02/11/2016 18,21.93,21.01,10293
02/11/2016 19,22.16,21.01,10516
02/11/2016 20,22.32,21.01,10418
02/11/2016 21,22.58,21.02,10260
02/11/2016 22,22.26,21.02,10020
02/11/2016 23,21.24,21.02,9649
02/11/2016 24,21.39,21.02,9321
02/12/2016 01,20.24,21.02,9133
02/12/2016 02,19.35,21.02,9023
02/12/2016 03,17.76,21.02,8946
02/12/2016 04,16.44,21.02,8933
02/12/2016 05,17.78,21.02,9043
02/12/2016 06,19.04,21.01,9222
02/12/2016 07,21.94,21,9637
02/12/2016 08,21.64,21,10190
02/12/2016 09,22.32,21,10321
02/12/2016 10,22.32,21,10368
02/12/2016 11,22.5,21,10440
02/12/2016 12,22.59,21,10468
02/12/2016 13,22.35,20.99,10423
02/12/2016 14,21.92,20.99,10397
02/12/2016 15,20.67,20.99,10334
02/12/2016 16,20.13,20.99,10269
02/12/2016 17,20.03,20.98,10257
02/12/2016 18,20.82,20.97,10326
02/12/2016 19,20.59,20.96,10421
02/12/2016 20,20.42,20.94,10319
02/12/2016 21,20.32,20.93,10174
02/12/2016 22,18.6,20.92,9954
02/12/2016 23,16.15,20.91,9666
02/12/2016 24,14.95,20.9,9337
02/13/2016 01,14.49,20.88,9112
02/13/2016 02,15.47,20.87,8972
02/13/2016 03,15.01,20.87,8865
02/13/2016 04,13.84,20.86,8881
02/13/2016 05,13.6,20.85,8888
02/13/2016 06,13.54,20.84,8942
02/13/2016 07,13.88,20.82,9107
02/13/2016 08,15.56,20.82,9371
02/13/2016 09,17.71,20.81,9489
